edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.6118845,0.6118845,0.5827472,0.5827472,0.5827472
0.6909871,0.6909871,0.5967616,0.6281701,0.6595786
0.6717531,0.6717531,0.5841332,0.5841332,0.6133398
0.7417511,0.7417511,0.618126,0.6490323,0.6490323
0.6000142,0.6000142,0.5250124,0.5000118,0.5000118
0.5605488,0.5849205,0.5118055,0.5118055,0.4630621
0.7193854,0.7493597,0.6594366,0.6294622,0.5695134
0.5829479,0.6072373,0.5343689,0.4857899,0.4372109
0.7484807,0.7484807,0.6586631,0.5688454,0.5688454
0.8305613,0.8305613,0.7347273,0.6069487,0.575004
0.8705011,0.8382604,0.7737789,0.6448157,0.5803342
0.7816419,0.7526922,0.6658432,0.5789941,0.5500444
0.646383,0.6215222,0.5966613,0.5220787,0.4972178
0.8256334,0.7950544,0.7644754,0.6115804,0.5810013
0.7461017,0.690835,0.690835,0.5250347,0.5250347
0.9040776,0.8395007,0.8395007,0.6134813,0.5811929
0.9010786,0.8688973,0.8367159,0.6436277,0.5470836
0.8722484,0.8120934,0.8120934,0.5714732,0.4812406
0.8306252,0.8019829,0.8019829,0.5155606,0.458276
0.8498475,0.8498475,0.8498475,0.5567967,0.4395764

