UserID,StepNr,algorithm,task,edgeCrossingWeight,nodeOverlapWeight,edgeCrossAngleWeight,angularResWeight,edgeLengthWeight,cameraOffset
0,0,ConeBurst,Task,1.236753,1.086051,1.01469,0.9575989,0.7049071,0
0,0,ConeBurst,Task,1.055203,0.9863576,1.115281,1.050535,0.7926227,0
0,0,ConeBurst,Task,1.157755,1.074799,1.078732,1.00768,0.6810335,0
0,0,ConeBurst,Task,1.223929,1.001142,1.07253,0.9958796,0.7065197,0
0,0,ConeBurst,Task,1.311945,1.013857,1.064716,0.9670642,0.6424168,0
0,0,ConeBurst,Task,1.375355,1.022091,1.055946,0.9539982,0.5926091,0
0,0,ConeBurst,Task,1.417053,0.9956712,1.049108,0.9438251,0.5943438,0
0,0,ConeBurst,Task,1.459013,0.9925007,1.039916,0.9311321,0.5774382,0
0,0,ConeBurst,Task,1.487975,0.9906409,1.034512,0.9211232,0.5657489,0
0,0,ConeBurst,Task,1.513239,0.9867619,1.030217,0.9106437,0.5591387,0
0,0,ConeBurst,Task,1.510506,0.9925909,1.029351,0.9078413,0.5597103,0
0,0,ConeBurst,Task,1.522175,0.9914924,1.027456,0.9025759,0.5563011,0
0,0,ConeBurst,Task,1.521879,0.9928775,1.026818,0.9026425,0.5557829,0
0,0,ConeBurst,Task,1.52085,0.9956474,1.027149,0.9020274,0.5543264,0
0,0,ConeBurst,Task,1.526645,0.995659,1.025476,0.9005545,0.5516655,0
0,0,ConeBurst,Task,1.525986,0.9970535,1.025268,0.8998938,0.551798,0
0,0,ConeBurst,Task,1.528876,0.9970189,1.024206,0.8988698,0.5510303,0
0,0,ConeBurst,Task,1.531209,0.9968442,1.023465,0.8979049,0.5505767,0
0,0,ConeBurst,Task,1.533221,0.9966949,1.023034,0.8973644,0.5496855,0
0,0,ConeBurst,Task,1.534741,0.9966573,1.022349,0.8970214,0.5492319,0

