option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt2,0.6008136,0.5519375,0.624176,0.7337089,0.4675887,0.6266569,3.145267
alt2,0.5998051,0.6215364,0.7942678,0.7174426,0.5144738,0.3513045,4.820038
alt2,0.5148264,0.3245643,0.4342378,0.7377402,0.5394939,0.5380958,1.242813
alt2,0.5060563,0.3388895,0.4591833,0.7147396,0.497568,0.5199012,9.382747
alt2,0.5910469,0.5909703,0.5699577,0.7793441,0.4707856,0.5441768,8.019331
alt2,0.5046413,0.3714981,0.4250974,0.7423948,0.5160312,0.4681849,1.033518
alt2,0.6030002,0.700222,0.7672488,0.7238821,0.5057115,0.3179362,1.534306
alt2,0.5737693,0.6346599,0.5772173,0.7083499,0.4633457,0.4852736,7.778268
alt2,0.4702678,0.3517588,0.326585,0.687005,0.498134,0.487856,3.947643
alt2,0.4710901,0.3724717,0.3992709,0.6762567,0.4553832,0.4520681,4.886573
alt2,0.4521746,0.4414112,0.3398134,0.645807,0.4838118,0.3500295,5.053037
alt2,0.4822479,0.4798947,0.3904364,0.6651333,0.4806963,0.3950789,1.821025
alt2,0.6273721,1.061404,0.5761112,0.6887648,0.4315548,0.3790258,3.277503
alt2,0.4491579,0.4189192,0.3585032,0.627446,0.43184,0.4090813,3.132814
alt2,0.4693525,0.5085708,0.3634514,0.6645497,0.4290079,0.3811827,1.19957
alt2,0.6488221,1.20661,0.638614,0.6977755,0.3826897,0.3184207,5.140469
alt2,0.4409246,0.4278596,0.4025269,0.6074749,0.4002629,0.3664991,3.587933
alt2,0.569989,0.8660113,0.7025954,0.5983999,0.3506129,0.3323256,6.755011
alt2,0.4511974,0.5351961,0.4646345,0.5555334,0.3489955,0.3516273,1.677043
alt2,0.5659612,0.9698128,0.6270738,0.6105961,0.3391482,0.2831753,1.816275

