option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
chosenOption,0.5052532,0.5521864,0.6057283,0.703656,0.5142689,0.1504264,30.67412
chosenOption,0.5504525,0.6511052,0.3072875,0.7027609,0.5077354,0.5833732,6.163761
chosenOption,0.5489318,0.6208773,0.3837112,0.7615779,0.4942342,0.4842588,6.698286
chosenOption,0.5279834,0.6807539,0.2627349,0.6762439,0.4790241,0.54116,3.641374
chosenOption,0.6016026,0.7589403,0.4384003,0.6838397,0.4928683,0.6339646,4.15367
chosenOption,0.3939916,0.3293532,0.3468842,0.6366563,0.4381451,0.2189191,6.441556
chosenOption,0.4105523,0.3093558,0.3335657,0.655574,0.4639754,0.2902905,4.608443
chosenOption,0.599709,0.6938929,0.4418518,0.7033139,0.5074554,0.6520314,6.602262
chosenOption,0.4711856,0.5276471,0.4855571,0.6469525,0.4777431,0.2180281,6.552136
chosenOption,0.5300388,0.6753787,0.2492458,0.6736819,0.4713844,0.5805036,7.560961
chosenOption,0.4893626,0.5937753,0.5133255,0.6839362,0.4792828,0.1764933,6.882442
chosenOption,0.562211,0.704009,0.2601376,0.6874031,0.4763019,0.6832032,9.03787
chosenOption,0.6028759,0.7723335,0.4137727,0.6725697,0.4781851,0.6775185,10.118
chosenOption,0.3744326,0.3338236,0.3154306,0.556904,0.4135044,0.2525004,9.839634
chosenOption,0.6239949,0.6998236,0.3445928,0.7852615,0.4750526,0.8152445,7.873755
chosenOption,0.4812394,0.6073373,0.4844424,0.6680431,0.4562752,0.190099,5.496356
chosenOption,0.5661333,0.7210952,0.2455059,0.6733638,0.454914,0.7357873,6.973014
chosenOption,0.465192,0.5812922,0.4470909,0.6247032,0.4429309,0.2299425,2.496979
chosenOption,0.4598412,0.543468,0.5060791,0.6706862,0.4400815,0.1388911,8.363803
chosenOption,0.4976589,0.593968,0.5510976,0.6501248,0.4746106,0.2184935,5.699564

