edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.5052532,0.5305158,0.5052532,0.5305158,0.4799905
0.577975,0.5504524,0.577975,0.577975,0.5504524
0.603825,0.5214853,0.603825,0.5489318,0.5763785
0.6071808,0.475185,0.5807816,0.5279833,0.5807816
0.7219231,0.5414423,0.691843,0.6316828,0.691843
0.4530903,0.3545924,0.4333907,0.3939915,0.4530903
0.4516075,0.3694971,0.4310799,0.3900247,0.4721351
0.6896654,0.5397381,0.6296945,0.599709,0.7196508
0.5418634,0.4476263,0.5183041,0.4711856,0.5418634
0.6360466,0.477035,0.6095446,0.5035369,0.6360466
0.587235,0.4648945,0.562767,0.4893626,0.562767
0.7027635,0.5059898,0.6465425,0.5622109,0.674653
0.7837385,0.5425882,0.723451,0.6330196,0.7535947
0.4680407,0.3369893,0.4493191,0.3744326,0.4680407
0.8111933,0.5303957,0.7799936,0.6239949,0.8111933
0.6256111,0.4331154,0.6015491,0.5053014,0.6015491
0.7642796,0.4812132,0.7076663,0.5661331,0.735973
0.628009,0.4186727,0.5582302,0.4651919,0.5814898
0.6207854,0.4368491,0.5748013,0.4598411,0.5518093
0.6718393,0.4976588,0.6220735,0.5225418,0.5971906

