option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt2,0.6067615,0.7285232,0.5608052,0.7491114,0.5971236,0.3982443,279.2828
alt2,0.4672631,0.3846347,0.3713263,0.7568542,0.6653701,0.1581299,208.1985
alt2,0.6832731,0.7662945,0.6302897,0.7121893,0.4714448,0.8361472,211.8176
alt2,0.4717922,0.4411167,0.3250468,0.7582074,0.7077568,0.1268333,213.133
alt2,0.6014364,0.6753759,0.5913864,0.7643957,0.5586171,0.4174072,297.6759
alt2,0.4353903,0.4045907,0.3338446,0.7281096,0.5764009,0.1340058,302.5714
alt2,0.4637772,0.4161172,0.3984482,0.7385901,0.6153729,0.1503575,229.1891
alt2,0.5871903,0.7917582,0.5916753,0.7185869,0.5620775,0.2718535,236.315
alt2,0.6118563,0.8168014,0.6123449,0.7120615,0.5606919,0.3573815,236.315
alt2,0.5864236,0.7346972,0.6372022,0.7235805,0.568926,0.2677119,323.4175
alt2,0.4683454,0.4621292,0.3898911,0.6809462,0.5724811,0.2362793,331.0918
alt2,0.699294,0.9397123,0.7045275,0.6968285,0.4121486,0.7432533,260.9566
alt2,0.4402258,0.4284411,0.3745217,0.6942818,0.5485096,0.155375,262.9493
alt2,0.7192146,1.022588,0.7181472,0.668997,0.4499006,0.7364401,267.2568
alt2,0.5844302,0.867286,0.6635326,0.6247123,0.4853916,0.2812281,272.5343
alt2,0.5614569,0.8427736,0.6194909,0.5570179,0.4551389,0.3328631,277.2842
alt2,0.5855433,0.8573051,0.5840425,0.6271404,0.4995918,0.3596367,278.405
alt2,0.5859008,0.8803528,0.5887237,0.6605096,0.5107146,0.2892034,279.3722
alt2,0.6105686,0.9090877,0.6055645,0.6508796,0.507683,0.3796279,362.0014
alt2,0.5784711,0.8695712,0.6485267,0.6057217,0.4570779,0.311458,291.0811

