userID,stepNumber,algorithm,task,edgeCrossingWeight,nodeOverlappingWeight,edgeCrossingAngleWeight,angularResolutionWeight,edgeLengthWeight,cameraOffset
0,1,ConeBurst, Task2,0.963657,0.9911633,1.033402,1.056183,0.9555941,3
0,2,ConeBurst, Task2,0.9819423,0.9979349,1.011895,1.004408,1.00382,3
0,3,ConeBurst, Task2,0.961745,0.9800609,1.047714,1.055591,0.9548899,3
0,4,ConeBurst, Task2,0.9658289,1.046036,1.039465,1.029746,0.9189239,3
0,5,ConeBurst, Task2,0.9976524,1.053017,1.012399,0.9738441,0.963087,3
0,6,ConeBurst, Task2,1.042533,1.063558,1.008465,0.9768194,0.9086249,3
0,7,ConeBurst, Task2,1.086799,1.076549,0.9865072,0.9960258,0.8541187,3
0,8,ConeBurst, Task2,1.121174,1.091903,0.9505415,0.9389881,0.8973928,3
0,9,ConeBurst, Task2,1.079715,1.064627,0.9957109,0.996874,0.8630729,3
0,10,ConeBurst, Task2,1.104254,1.063165,0.9649373,0.9507926,0.9168516,3
0,11,ConeBurst, Task2,1.13881,1.069401,0.9312913,0.8973457,0.9631519,3
0,12,ConeBurst, Task2,1.184408,1.080401,0.9145621,0.9108582,0.9097705,3
0,13,ConeBurst, Task2,1.221883,1.090075,0.8769618,0.8563434,0.954737,3
0,14,ConeBurst, Task2,1.274569,1.108619,0.8596596,0.8505048,0.9066475,3
0,15,ConeBurst, Task2,1.308035,1.100189,0.8250659,0.804859,0.9618511,3
0,16,ConeBurst, Task2,1.259901,1.075577,0.8718786,0.856127,0.9365171,3
0,17,ConeBurst, Task2,1.208407,1.071179,0.9067762,0.9050085,0.9086291,3
0,18,ConeBurst, Task2,1.24785,1.079813,0.8688689,0.8502144,0.953254,3
0,19,ConeBurst, Task2,1.277927,1.083548,0.8335268,0.8008934,1.004105,3
0,20,ConeBurst, Task2,1.23627,1.066229,0.8750705,0.8566746,0.9657562,3

