edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.7006173,0.7006173,0.6672546,0.6338918,0.7006173
0.7371777,0.7371777,0.6701616,0.6031454,0.7371777
0.8061182,0.8061182,0.7360211,0.5958266,0.8061182
0.8054538,0.8054538,0.7383327,0.5369692,0.8054538
0.7025427,0.7025427,0.6732701,0.4976344,0.7025427
0.8371577,0.8371577,0.8036714,0.535781,0.8371577
0.8841907,0.8841907,0.8161761,0.5101101,0.8841907
0.9103124,0.9103124,0.8428819,0.4720139,0.9103124
0.9547584,0.9547584,0.8183644,0.4432808,0.9547584
0.7939993,0.7939993,0.708928,0.3686426,0.7939993
1.03638,1.03638,0.9291683,0.4645842,1.03638
0.8385363,0.8385363,0.7807062,0.3758956,0.8385363
1.023804,1.023804,0.9555508,0.4095218,1.023804
1.06712,1.06712,0.929427,0.4130787,1.06712
1.172929,1.172929,1.026313,0.4398485,1.172929
1.158162,1.158162,1.017779,0.3860539,1.158162
1.197604,1.197604,1.021486,0.3874603,1.197604
1.227677,1.227677,1.017219,0.350765,1.227677
1.338969,1.338969,1.115807,0.3719358,1.338969
1.367523,1.367523,1.145763,0.3326409,1.367523

