step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.4679246,0.3206796,0.3308713,0.685118,0.7141262,0.2888276,31.88433
1,0.6084439,0.6552719,0.5107683,0.7369431,0.6283969,0.5108391,1.188895
2,0.5999425,0.5945106,0.5701737,0.7201422,0.5568838,0.5580022,4.2336
3,0.6187743,0.7304017,0.5280153,0.7543508,0.5323498,0.5487539,7.629546
4,0.7406094,0.9218069,0.6751748,0.7626298,0.4390107,0.9044247,5.373137
5,0.4667602,0.3754466,0.3684648,0.7577453,0.5681809,0.2639634,4.087404
6,0.5137831,0.4008493,0.4135892,0.8221416,0.571301,0.3610345,2.235467
7,0.6728286,0.7026039,0.6738414,0.8641706,0.4640697,0.6594574,2.877394
8,0.7029785,0.7431434,0.7041973,0.9104098,0.4695117,0.6876302,5.342844
9,0.5393462,0.4271773,0.4700326,0.8320131,0.4272959,0.5402119,6.975057
10,0.4867963,0.4380212,0.4298756,0.8236362,0.4344913,0.3079573,3.056319
11,0.8675323,1.113849,0.9143187,0.9227769,0.3196849,1.067032,2.010591
12,0.5182658,0.4312904,0.370074,0.8891462,0.4687712,0.4320472,3.030322
13,0.5397956,0.3788084,0.4058901,1.000406,0.3905435,0.52333,1.815688
14,0.5843744,0.4729461,0.520393,0.9360147,0.394427,0.5980914,4.962949
15,0.7486874,0.8969691,0.8293431,0.9678234,0.2913187,0.7579827,1.938502
16,0.793694,0.9763673,0.8445019,1.034948,0.267579,0.8450737,2.17654
17,0.5595458,0.5056503,0.4338796,0.9550089,0.3966526,0.5065377,1.622218
18,0.7924706,0.9810604,0.9070942,1.002389,0.2427656,0.8290437,8.362305
19,0.8752885,1.084277,1.032099,1.06691,0.2690507,0.9241055,14.86045

