step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5196566,0.4077643,0.395711,0.7321882,0.5282991,0.5343205,1.044739
1,0.5466455,0.4077643,0.4188535,0.7233343,0.5600411,0.623234,8.767262
2,0.573656,0.3973084,0.4565371,0.8143466,0.5704072,0.6296804,1.651174
3,0.5818905,0.448541,0.4587444,0.7922232,0.5867097,0.6232342,1.313162
4,0.5780861,0.657323,0.5950676,0.8220113,0.6020756,0.2139533,0.5973808
5,0.6061723,0.4893174,0.4946387,0.8786258,0.633959,0.5343205,2.409644
6,0.6331211,0.5097055,0.46544,0.9487569,0.6474423,0.5942608,1.449452
7,0.623139,0.4549116,0.4667525,0.915534,0.7255952,0.552902,1.43262
8,0.7198588,0.77164,0.8489403,0.9741561,0.6531932,0.3513646,0.7109194
9,0.6219298,0.5297447,0.4575947,1.060442,0.7207929,0.3410745,1.096503
10,0.7408741,0.7506641,0.797039,1.120655,0.6544837,0.3815284,1.232521
11,0.7535926,0.8287991,0.8579878,1.011884,0.6456554,0.4236366,0.9616725
12,0.746915,0.8573777,0.9159838,1.095222,0.6112061,0.2547855,1.084597
13,0.7717568,0.885957,0.9151866,1.011884,0.6456554,0.4001012,0.5411329
14,0.6625165,0.7010167,0.5355046,0.9620754,0.6744534,0.4395322,1.263817
15,0.931904,1.170341,1.318107,1.13606,0.6527123,0.3822994,0.7409691
16,0.6407664,0.6524223,0.555409,0.9789914,0.5786366,0.4383729,1.38396
17,0.6974422,0.6728107,0.6086521,1.138508,0.6215446,0.4456955,0.8953915
18,0.6683438,0.693199,0.58907,1.046507,0.6037949,0.4091482,1.906348
19,0.6765078,0.7448305,0.5679594,1.065154,0.6474754,0.3571198,1.591226

