edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.6264533,0.6577759,0.6577759,0.6577759,0.6264533
0.6282794,0.6581975,0.6581975,0.6581975,0.5983614
0.6834376,0.7145029,0.7145029,0.6834376,0.621307
0.6971616,0.7274729,0.6971616,0.6971616,0.6062275
0.7528827,0.7842527,0.7528827,0.7528827,0.6274023
0.7589996,0.7893596,0.7589996,0.7589996,0.6071998
0.790939,0.8213596,0.790939,0.790939,0.6084147
0.8636497,0.8956367,0.8636497,0.8316627,0.6077536
0.9329348,0.9662538,0.9329348,0.8662966,0.5997439
0.8197419,0.8490184,0.8197419,0.7319125,0.5562536
0.9675086,1.000871,0.9341462,0.8340592,0.6005227
1.02059,1.054609,0.9865699,0.8164718,0.5783343
1.075814,1.110518,0.9717029,0.8675919,0.5899626
1.107648,1.142262,0.9691919,0.8653499,0.5538241
0.91828,0.9469762,0.8321913,0.6887102,0.4591401
0.9070696,0.9354156,0.8220319,0.6519564,0.425189
1.142518,1.17714,1.038653,0.8309224,0.5193266
1.16924,1.203629,1.066072,0.8253461,0.4814519
0.9787512,1.007538,0.8923908,0.6908833,0.3742285
1.22526,1.260268,1.120238,0.8751861,0.4200893

