step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5098721,0.6132775,0.5017891,0.7728839,0.5017525,0.1596574,76.90667
1,0.4829259,0.3124556,0.2892809,0.6983725,0.539874,0.5746466,5.208644
2,0.5098477,0.529863,0.541559,0.7292329,0.5666383,0.1819454,7.527321
3,0.5770594,0.3919691,0.5337217,0.6989918,0.5616,0.6990143,18.39294
4,0.6223643,0.5061986,0.796321,0.6434983,0.5291315,0.6366725,23.78656
5,0.5978053,0.4808773,0.6809353,0.6675575,0.514064,0.6455925,39.78166
6,0.4873367,0.3617906,0.3349568,0.7351285,0.4588932,0.5459144,4.021638
7,0.52267,0.6135253,0.6305997,0.7706178,0.3815809,0.2170263,3.065646
8,0.4687739,0.3453457,0.3924557,0.7703127,0.4069108,0.4288446,10.46739
9,0.644976,0.5315083,0.8325176,0.750748,0.4734335,0.6366727,7.063754
10,0.6571574,0.5577503,0.8100203,0.8141139,0.4284382,0.6754642,11.60918
11,0.4606666,0.3124557,0.3746167,0.7336311,0.4323427,0.4502869,7.498427
12,0.458653,0.4579782,0.4323458,0.7657737,0.4092054,0.2279617,6.727078
13,0.4602585,0.2280316,0.3801153,0.8172014,0.3931579,0.4827861,6.697814
14,0.506604,0.6746053,0.5519681,0.811528,0.3512267,0.1436916,7.22576
15,0.625361,0.585638,0.7732006,0.814114,0.3748834,0.5789693,17.81743
16,0.4361548,0.2280316,0.3628373,0.8172015,0.3407369,0.4319665,2.709725
17,0.5576494,0.4808773,0.680935,0.7026922,0.3427092,0.5810332,13.16174
18,0.4395159,0.5037761,0.452934,0.7657736,0.2813287,0.1937674,26.74461
19,0.6045769,0.5821284,0.8325171,0.786498,0.3063392,0.5154017,0.8791242

