option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
chosenOption,0.5983169,0.647325,0.5859981,0.7371491,0.6875461,0.3335664,8.641812
chosenOption,0.5947639,0.7419898,0.5789776,0.7455468,0.6338138,0.2734917,2.235859
chosenOption,0.5962196,0.736746,0.6515422,0.6813037,0.5230271,0.3884789,5.465278
chosenOption,0.5767542,0.7205735,0.5899326,0.6313315,0.6439744,0.297959,1.852081
chosenOption,0.6240904,0.8304985,0.6279222,0.6736966,0.473704,0.5146303,4.272707
chosenOption,0.6009393,0.8398047,0.6968076,0.6248509,0.4899246,0.3533089,2.72582
chosenOption,0.6073065,0.9081969,0.7199586,0.6642929,0.4424561,0.3016279,2.515116
chosenOption,0.5424529,0.7909545,0.5382905,0.6047274,0.3813765,0.3969155,1.473924
chosenOption,0.6318936,1.034237,0.6864829,0.6451188,0.4148673,0.3787623,2.442921
chosenOption,0.629833,1.114645,0.6153108,0.6390144,0.3995228,0.3806716,1.762728
chosenOption,0.5252469,0.8094763,0.5264944,0.5824147,0.3239737,0.3838754,2.173831
chosenOption,0.641291,1.151088,0.765414,0.5861576,0.3288416,0.3749535,1.19629
chosenOption,0.5327275,0.85158,0.6229587,0.5413497,0.3521873,0.2955617,1.313444
chosenOption,0.6376676,1.201521,0.7369053,0.5275649,0.2724622,0.4498847,1.937546
chosenOption,0.525275,0.9184336,0.5753493,0.5210347,0.3358451,0.2757123,1.819262
chosenOption,0.6420363,1.302272,0.7293634,0.5370334,0.3008724,0.3406404,1.772706
chosenOption,0.530492,0.9682961,0.6420735,0.4769309,0.3030668,0.2620928,1.147499
chosenOption,0.6445842,1.38177,0.7466493,0.462105,0.2275706,0.4048268,1.80285
chosenOption,0.642032,1.492493,0.67497,0.4748013,0.2410636,0.3268325,1.852935

