step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.586655,0.3843617,0.6121024,0.6838461,0.5225601,0.7304048,274.7951
1,0.5702547,0.5626332,0.6581797,0.7829055,0.5366013,0.3109539,277.9485
2,0.4618777,0.3741574,0.4557623,0.6599512,0.6119085,0.2076092,283.945
3,0.5942065,0.5626331,0.7250707,0.7582759,0.5876461,0.3374066,387.1785
4,0.5636878,0.3470954,0.5210772,0.6280907,0.5196933,0.8024824,294.1949
5,0.5985639,0.3919745,0.5609487,0.7515855,0.5451545,0.7431563,298.8594
6,0.610019,0.422798,0.6121025,0.6838457,0.6009441,0.7304047,306.0285
7,0.5846341,0.4227981,0.598327,0.6782858,0.6059918,0.6177677,313.1136
8,0.4772316,0.4420159,0.45865,0.704994,0.5581756,0.2223225,319.6932
9,0.6161927,0.461234,0.6358129,0.7784665,0.5737746,0.6316755,321.7146
10,0.632431,0.480452,0.6427078,0.7180384,0.6270721,0.6938845,326.6788
11,0.5577552,0.5845823,0.5935152,0.7848466,0.6026753,0.2231568,425.2188
12,0.5210527,0.4810595,0.4464971,0.8063591,0.5577671,0.3135809,332.3967
13,0.5332137,0.3684712,0.5042478,0.8227686,0.590534,0.3800469,334.5403
14,0.5881515,0.4793221,0.5576738,0.8686883,0.6911593,0.343914,339.1486
15,0.6530885,0.5765426,0.7014275,0.8775446,0.6381491,0.4717783,446.1241
16,0.7489301,0.921505,0.8706058,1.010746,0.6518794,0.2899142,345.7064
17,0.7024955,0.5957603,0.9507826,0.9018239,0.5858459,0.478265,350.7326
18,0.5773184,0.4211098,0.5882892,0.9256147,0.590534,0.3610446,351.5636
19,0.6085759,0.5289068,0.6245945,0.9034359,0.6911592,0.2947834,352.3996

