step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.4487852,0.3843617,0.4533465,0.6628156,0.5264712,0.2169309,372.0513
1,0.5829669,0.3741575,0.560949,0.7515852,0.5203748,0.7077678,317.28
2,0.5736781,0.5135833,0.6823204,0.7556449,0.5721325,0.3447094,323.4016
3,0.4767126,0.4035797,0.4827893,0.7049943,0.5581759,0.2340236,329.033
4,0.4754567,0.4359562,0.4753339,0.679812,0.5444263,0.241755,388.2341
5,0.6002061,0.5380397,0.7164362,0.7934274,0.5721325,0.3809946,341.5673
6,0.601047,0.5894253,0.7083375,0.7731351,0.6102642,0.3240732,400.3276
7,0.4598469,0.3919747,0.4329741,0.6269538,0.6397226,0.2076092,404.2824
8,0.5653522,0.4420159,0.5025006,0.7335482,0.5716152,0.5770811,410.7248
9,0.5004759,0.4982356,0.4753339,0.7138029,0.5962763,0.2187307,415.5556
10,0.4962854,0.4454253,0.4634354,0.7192444,0.6554798,0.1978421,419.9428
11,0.5514854,0.4297372,0.462227,0.7810783,0.6663401,0.4180446,391.2834
12,0.664107,0.5188882,0.7242907,0.8210825,0.6059917,0.6502817,393.1937
13,0.601874,0.6295504,0.6571295,0.8330933,0.6761129,0.2134839,399.7379
14,0.7061394,0.5573244,0.8061162,0.8820127,0.6113647,0.6738792,441.7857
15,0.5463496,0.3947906,0.5312647,0.8779447,0.5792971,0.3484512,413.2976
16,0.6303219,0.5123786,0.5672789,0.9585962,0.6953114,0.4180445,415.4857
17,0.5757547,0.5523273,0.5435616,0.9115365,0.557767,0.3135811,457.714
18,0.8086847,0.7826029,1.034232,1.051971,0.6931248,0.4814929,427.9538
19,0.6917669,0.6643138,0.9642372,0.8730174,0.6450121,0.312254,464.7836

