step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5006449,0.5383703,0.4003851,0.7341088,0.5058375,0.3245229,62.48711
1,0.5840204,0.3856965,0.4774823,0.7149861,0.5237035,0.8182334,12.7582
2,0.562474,0.746686,0.4973713,0.6650703,0.5157553,0.387487,5.666545
3,0.5607141,0.7206985,0.5205225,0.6846172,0.511072,0.3666605,13.1603
4,0.4955105,0.4242661,0.4825499,0.7430862,0.4574274,0.3702228,6.252661
5,0.5940509,0.8213542,0.5989896,0.7802317,0.4564596,0.3132195,6.779786
6,0.5083975,0.4836216,0.5210224,0.7648785,0.4657212,0.3067439,5.950947
7,0.5846213,0.789336,0.5725749,0.7987197,0.4344112,0.3280647,4.831763
8,0.5990596,0.8960234,0.5746183,0.797493,0.4579491,0.2692142,3.658462
9,0.6171046,0.9333577,0.6020809,0.775915,0.4641798,0.3099897,10.03599
10,0.6460695,1.060381,0.5882429,0.8243309,0.5003551,0.2570375,0.4208507
11,0.6509868,1.008027,0.5951344,0.8722972,0.5085802,0.2708952,5.834884
12,0.6476113,1.04536,0.5746184,0.8734449,0.5387635,0.2058697,9.225026
13,0.6168892,0.7806372,0.5814043,0.9694501,0.4835928,0.2693617,8.928781
14,0.6661891,1.082695,0.6020813,0.9237092,0.4899676,0.2324922,3.844726
15,0.5214332,0.4362776,0.3803447,0.9608928,0.5089835,0.3206674,9.622289
16,0.616924,0.7806368,0.5659566,0.9108436,0.5451897,0.2819934,14.85981
17,0.6808775,1.082695,0.5951346,0.9515968,0.5621148,0.2128463,10.36026
18,0.6912402,1.223517,0.5545661,0.9704625,0.5771523,0.130503,2.709531
19,0.7220073,1.2643,0.5512672,1.061594,0.5496817,0.1831933,5.495692

