step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.6365585,0.6596066,0.5736933,0.7601782,0.4554918,0.7338226,4.02157
1,0.5786163,0.7250235,0.4868389,0.7843856,0.6698515,0.226982,8.887533
2,0.6734027,0.7250234,0.5498765,0.8122384,0.4932411,0.7866341,4.633737
3,0.6792114,0.7255675,0.6310627,0.836196,0.4327173,0.7705136,1.988124
4,0.7068759,0.8122324,0.615118,0.8153229,0.4321021,0.8596041,1.315704
5,0.7252676,0.8667841,0.7432844,0.7621431,0.4622399,0.7918866,1.326987
6,0.6101144,0.8631231,0.5795701,0.7843856,0.5640855,0.2594077,1.248242
7,0.7419668,0.8574882,0.727192,0.795199,0.4388354,0.8911196,3.655008
8,0.7358875,0.8904688,0.7458015,0.7981871,0.3643935,0.8805868,1.233802
9,0.7756383,1.011249,0.8361945,0.7621431,0.4078587,0.8607464,2.567024
10,0.6335773,0.9345081,0.6926594,0.7626873,0.4222705,0.3557612,1.679191
11,0.7660571,1.024119,0.7488394,0.7444253,0.3360793,0.9768227,1.489149
12,0.794217,0.9894104,0.8435428,0.7951989,0.3355799,1.007353,1.132343
13,0.6200001,0.9667326,0.7056641,0.7421357,0.3529872,0.3324811,2.077643
14,0.7923098,1.08348,0.9291053,0.7275003,0.3262869,0.8951762,1.033926
15,0.6386852,0.9989564,0.7668723,0.7263688,0.331784,0.3694445,0.9902845
16,0.6803933,1.022389,0.8526892,0.7612119,0.3567984,0.4088778,1.158846
17,0.6494577,0.6830685,0.6096596,0.7876685,0.3478048,0.819087,3.313852
18,0.7828581,1.02239,0.8892238,0.798187,0.2505205,0.9539692,2.359265
19,0.6458099,0.9605718,0.8145013,0.7980959,0.3081947,0.3476858,1.95643

