step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.4396226,0.3333333,0.4911917,0.7074383,0.5260927,0.140057,22.72746
1,0.5321106,0.4708663,0.646516,0.7042339,0.4979544,0.3409823,2.464041
2,0.5265014,0.4140078,0.6373714,0.7644602,0.5095953,0.3070722,2.583065
3,0.4547825,0.3666666,0.4833062,0.7803437,0.4742842,0.1693117,2.131468
4,0.5422841,0.4730087,0.6754395,0.8576936,0.4597439,0.2455351,1.243913
5,0.5822099,0.5414961,0.7434934,0.8524941,0.45053,0.3230359,1.111434
6,0.5787908,0.4731516,0.7284243,0.9173524,0.4841155,0.2909105,1.365312
7,0.5856171,0.4928665,0.8221174,0.879196,0.424002,0.3099035,1.375911
8,0.548041,0.5375099,0.6118098,0.8982567,0.4064536,0.2861752,1.855625
9,0.5816884,0.6750254,0.6660329,0.9648999,0.4085487,0.193935,2.386783
10,0.4991739,0.3805045,0.4678766,0.9086388,0.3769156,0.3619341,2.23252
11,0.508704,0.3664117,0.4435922,0.9191447,0.3749454,0.439426,2.021613
12,0.5221096,0.352319,0.6717177,0.8741261,0.3977115,0.3146737,1.539376
13,0.4757279,0.3832984,0.563237,0.8257479,0.4025731,0.2037833,1.822997
14,0.4848161,0.4000002,0.4851774,0.7706705,0.3990212,0.3692113,1.123187
15,0.5071192,0.3679667,0.6996018,0.7831764,0.4330535,0.2517976,1.047205
16,0.56434,0.5650396,0.6997057,0.8742676,0.4125079,0.2701792,1.026172
17,0.4688467,0.3832984,0.5632372,0.7913417,0.4025731,0.2037833,0.888404
18,0.4892045,0.3382261,0.4884475,0.7692503,0.4433782,0.4067203,0.8457027
19,0.5610159,0.4945095,0.7326232,0.8008942,0.4198328,0.3572199,0.5891912

