step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5099337,0.3333333,0.4093124,0.7204885,0.4526961,0.6338382,3.775916
1,0.4898241,0.3066386,0.3599049,0.6635833,0.5635686,0.5554253,1.045898
2,0.4949425,0.2959478,0.3939453,0.7260243,0.4639837,0.5948116,1.401526
3,0.5020742,0.3100405,0.3793921,0.7212815,0.5164174,0.5832397,0.8783032
4,0.4593772,0.3373024,0.4956484,0.7569354,0.5032164,0.2037832,1.221473
5,0.5366241,0.3833333,0.4707094,0.828562,0.4300613,0.5704544,0.6770492
6,0.4897524,0.3999999,0.5106788,0.8871456,0.4891258,0.1618117,0.7659113
7,0.4966292,0.352319,0.4498814,0.873691,0.42403,0.3832245,0.7004976
8,0.5194327,0.3523189,0.4613355,0.9191448,0.4249382,0.4394261,0.8560621
9,0.5192974,0.3664117,0.5079854,0.874148,0.4172971,0.4306449,0.6791841
10,0.548565,0.4139625,0.757902,0.925572,0.4075797,0.2378089,0.4887247
11,0.5878949,0.6121263,0.699706,0.9934856,0.3639775,0.2701792,1.543329
12,0.593538,0.5885831,0.6561771,1.025418,0.3656682,0.3318438,0.8567171
13,0.5451009,0.4166667,0.5116404,0.8645863,0.3621569,0.5704543,1.324463
14,0.5270278,0.4000002,0.7287519,0.7718024,0.4336205,0.3009639,0.578238
15,0.4645315,0.3382262,0.431886,0.7688481,0.4004728,0.3832244,1.367821
16,0.491006,0.3382262,0.443592,0.8088474,0.4249382,0.4394259,0.4199544
17,0.5378962,0.4166668,0.5116408,0.8285619,0.3621569,0.5704544,1.122432
18,0.5672719,0.5650394,0.6835178,0.9023674,0.3885224,0.2969128,0.4997259
19,0.4953231,0.3241335,0.4138822,0.7212815,0.4647755,0.5525428,0.3366024

