edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.6905973,0.6905973,0.6248261,0.6248261,0.6905973
0.7273375,0.7273375,0.5950944,0.5950944,0.7273375
0.6416959,0.6416959,0.5541919,0.5250239,0.6416959
0.6232407,0.6232407,0.5665825,0.5099242,0.6232407
0.768635,0.768635,0.6683784,0.6015405,0.768635
0.7407051,0.7407051,0.6172544,0.5246662,0.7407051
0.6626737,0.6350623,0.5522282,0.4970053,0.6626737
0.6789077,0.6506199,0.5374687,0.5091808,0.6789077
0.656595,0.6292369,0.5471626,0.4924463,0.656595
0.8148775,0.7822825,0.6519021,0.5541168,0.8148775
0.7282056,0.6990774,0.5825646,0.4951799,0.7282056
0.8850552,0.8510146,0.6808118,0.5446494,0.8850552
0.5294595,0.5082812,0.4023893,0.3600325,0.5294595
0.7821352,0.7520531,0.5715604,0.4813141,0.7520531
0.7180241,0.6904078,0.52471,0.4142447,0.6904078
0.9296411,0.89521,0.654192,0.4820362,0.89521
0.7599562,0.7318097,0.5066376,0.3940515,0.7318097
0.9753587,0.9405245,0.6618507,0.4528452,0.9405245
0.9629914,0.9297848,0.6641322,0.3984793,0.9297848
1.048735,1.013777,0.6991569,0.3845362,1.013777

