edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.6841306,0.6841306,0.6189753,0.6189753,0.6841306
0.706619,0.706619,0.5781428,0.5781428,0.706619
0.7372195,0.7372195,0.5449014,0.5449014,0.7372195
0.7751544,0.7751544,0.5167696,0.5167696,0.7751544
0.8044074,0.8044074,0.4826445,0.5148208,0.8044074
0.8359671,0.8359671,0.4822888,0.5144414,0.8359671
0.8674444,0.8674444,0.449786,0.4819136,0.8674444
0.9137748,0.9137748,0.4568875,0.4568875,0.9137748
0.5225005,0.5225005,0.2709262,0.2902781,0.5225005
0.9043527,0.9043527,0.4198781,0.4521765,0.9043527
0.9350179,0.9350179,0.386904,0.451388,0.9350179
0.9836686,0.9836686,0.3606785,0.4262564,0.9836686
1.039789,1.039789,0.3354157,0.4024989,1.039789
0.8657866,0.8657866,0.2513574,0.3351432,0.8657866
1.056275,1.056275,0.2970775,0.3630947,1.056275
1.114212,1.114212,0.2701119,0.3376399,1.114212
1.148808,1.11502,0.2703079,0.3378849,1.148808
1.195552,1.161394,0.2732691,0.3074278,1.195552
0.680764,0.6607416,0.1401573,0.2002247,0.680764
1.157745,1.124666,0.2315489,0.2977058,1.157745

