option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt1,0.5294783,0.6085927,0.5947929,0.7569023,0.5014509,0.1856529,1.499574
alt1,0.4663006,0.4609389,0.4873144,0.7098153,0.4929295,0.1805048,1.516076
alt1,0.4969696,0.5390453,0.5565695,0.7219399,0.4962078,0.1710857,1.68729
alt1,0.498449,0.5449854,0.5905414,0.7121941,0.4795629,0.1649611,3.083677
alt1,0.5214357,0.4209386,0.485615,0.6796165,0.4581385,0.5628698,1.970891
alt1,0.5022429,0.5175522,0.6841411,0.6576681,0.4487247,0.2031284,1.600979
alt1,0.5225683,0.5519198,0.7327886,0.6854805,0.4348864,0.2077666,1.920974
alt1,0.5253452,0.5494071,0.7698297,0.5987808,0.4274852,0.2812232,1.061009

