edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.7186823,0.7186823,0.7186823,0.6502364,0.7186823
0.5669396,0.5669396,0.5669396,0.5385926,0.5952866
0.6219949,0.6219949,0.6530947,0.5597954,0.6841944
0.699874,0.699874,0.6665467,0.5665647,0.7665287
0.736976,0.736976,0.6364793,0.5359825,0.8039738
0.8024698,0.8024698,0.6977999,0.5233499,0.8722497
0.7244558,0.7244558,0.5984635,0.4409731,0.8189499
0.5941616,0.5683285,0.464996,0.3874967,0.6458278
0.7391927,0.707054,0.5463598,0.4499434,0.8356091
0.702659,0.6733815,0.5269943,0.4098844,0.7612138
0.6511858,0.6240531,0.5155221,0.4069912,0.6783186
0.8255482,0.7595044,0.6274167,0.462307,0.85857
0.6350242,0.5842223,0.4572175,0.3810146,0.6350242
0.6587455,0.6060459,0.447947,0.4215972,0.6323957
0.6916016,0.6362735,0.4979532,0.4702891,0.6362735
0.7120829,0.6551163,0.5126997,0.5126997,0.626633
0.7763541,0.6867749,0.537476,0.5374761,0.6270554
0.8019506,0.7402621,0.5860409,0.5860409,0.6168851
0.8312396,0.7672981,0.5754736,0.5754737,0.6713859
0.780629,0.7205806,0.5404355,0.5704597,0.6004839

