userID,stepNumber,algorithm,task,edgeCrossingWeight,nodeOverlappingWeight,edgeCrossingAngleWeight,angularResolutionWeight,edgeLengthWeight,cameraOffset
7,1,ConeBurst, Task2,1.016999,0.9986853,0.9896986,0.9474431,1.047174,4
7,2,ConeBurst, Task2,0.963205,0.9911554,0.9935461,0.9592246,1.092869,4
7,3,ConeBurst, Task2,0.9386494,0.9757828,0.9943177,0.9265739,1.164677,4
7,4,ConeBurst, Task2,0.9638949,0.9761433,0.9733869,0.8746141,1.211961,4
7,5,ConeBurst, Task2,0.9893217,0.975298,0.9499364,0.8241671,1.261277,4
7,6,ConeBurst, Task2,1.002628,0.9669074,0.9276373,0.7806202,1.322207,4
7,7,ConeBurst, Task2,0.9887457,0.9491079,0.9012752,0.7517062,1.409165,4
7,8,ConeBurst, Task2,1.005114,0.9633468,0.9187519,0.7838663,1.328921,4
7,9,ConeBurst, Task2,0.993121,0.9416374,0.8963882,0.7533408,1.415513,4
7,10,ConeBurst, Task2,1.036305,0.9611129,0.8979307,0.7480608,1.35659,4
7,11,ConeBurst, Task2,1.047647,0.9787313,0.9187637,0.7791798,1.275678,4
7,12,ConeBurst, Task2,1.080006,0.9554608,0.8968402,0.7337344,1.333959,4
7,13,ConeBurst, Task2,1.106248,0.967044,0.9101721,0.759572,1.256964,4
7,14,ConeBurst, Task2,1.122307,0.976185,0.9211729,0.7950383,1.185296,4
7,15,ConeBurst, Task2,1.132714,0.9884834,0.9393982,0.8275728,1.111832,4
7,16,ConeBurst, Task2,1.136485,1.008458,0.9515312,0.8613377,1.042188,4
7,17,ConeBurst, Task2,1.17879,1.021816,0.9495314,0.8641086,0.9857532,4
7,18,ConeBurst, Task2,1.207017,1.039298,0.9500154,0.8844973,0.9191723,4
7,19,ConeBurst, Task2,1.233951,1.035467,0.931586,0.8323352,0.9666613,4
7,20,ConeBurst, Task2,1.265411,1.045742,0.9287672,0.8566548,0.9034249,4

