edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
1,1,0.95,1.05,1
1.05,1,0.95,0.9999999,1.05
1.05,1,0.9,0.9999999,1.05
1.1,1.05,0.85,0.9499999,1.1
1.1,1.05,0.9,0.9499999,1.1
1.15,1.1,0.9,0.8999999,1.15
1.2,1.15,0.95,0.8499999,1.2
1.25,1.2,0.95,0.7999999,1.25
1.25,1.2,1,0.8499999,1.25
1.25,1.2,1.05,0.8499999,1.25
1.3,1.25,1.05,0.7999999,1.3
1.3,1.25,0.9999999,0.8499999,1.3
1.35,1.3,0.9999999,0.7999999,1.35
1.4,1.35,0.9999999,0.7499999,1.4
1.4,1.35,0.9999999,0.7999999,1.4
1.45,1.4,1.05,0.7999999,1.45
1.5,1.45,1.1,0.7499999,1.5
1.549999,1.5,1.1,0.6999999,1.549999
1.599999,1.549999,1.05,0.6499999,1.599999
1.649999,1.549999,1.05,0.5999998,1.649999

