step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.6124174,0.6668919,0.6574596,0.6631719,0.6270455,0.4475182,28.50807
1,0.6642538,0.7196892,0.6677811,0.6802073,0.5261528,0.7274387,1.829118
2,0.6169298,0.7002364,0.6574597,0.6300132,0.6270455,0.469894,2.298514
3,0.6724433,0.7752692,0.6968079,0.622349,0.4626195,0.805171,1.553617
4,0.6376462,0.752397,0.5981575,0.6642553,0.6388947,0.5345265,1.647074
5,0.7069128,0.7916583,0.7085654,0.6532733,0.5320165,0.8490502,1.310329
6,0.7072306,0.8491041,0.7664881,0.6223491,0.4163575,0.881854,1.107426
7,0.7377226,0.8636274,0.8013292,0.6929843,0.3961013,0.9345706,1.112819
8,0.6543565,0.7925045,0.7209021,0.7344182,0.4776765,0.5462811,0.8417523
9,0.6998283,0.8549967,0.6836085,0.7814771,0.5716426,0.6074166,1.705439
10,0.7575978,0.8996122,0.8013371,0.751808,0.4259332,0.9092984,0.8957306
11,0.693705,0.8669594,0.8218246,0.6963305,0.5016363,0.5817739,2.292833
12,0.7983158,1.037612,0.8757572,0.7473813,0.3869335,0.9438947,1.201451
13,0.809038,1.077519,0.886607,0.7360769,0.3395351,1.005452,1.543124
14,0.7573027,0.8654327,0.8436793,0.7553905,0.5056204,0.8163905,1.207864
15,0.8821954,1.147399,0.9946565,0.7584313,0.4523343,1.058156,1.280277
16,0.9019936,1.188378,0.9916565,0.799595,0.4557065,1.074632,1.312586
17,0.8931527,1.197245,1.015878,0.8221196,0.341412,1.089109,1.366541
18,0.8950319,1.237152,1.062489,0.7577738,0.3343667,1.083378,1.077938
19,0.940954,1.311312,1.062756,0.7805097,0.4056472,1.144545,0.7822429

