step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5324004,0.3268853,0.4275419,0.7476459,0.4916024,0.6683263,37.88783
1,0.5326937,0.4026197,0.3866157,0.7423586,0.5238865,0.6079879,4.620145
2,0.5114387,0.3268855,0.4171374,0.7134798,0.5195537,0.5801368,2.810366
3,0.4879451,0.4227508,0.5752306,0.7949656,0.4485172,0.1982615,0
4,0.5503095,0.4428819,0.4252772,0.7777086,0.497692,0.6079879,2.866968
5,0.5390906,0.5040345,0.5960433,0.8758699,0.4291684,0.2903367,18.3251
6,0.5200096,0.4630127,0.6300145,0.8706768,0.4485172,0.1878267,14.61631
7,0.5670537,0.3922626,0.5005652,0.8154054,0.5468985,0.5801369,18.85806
8,0.5783508,0.4214794,0.4490278,0.9813654,0.497103,0.5427787,4.66369
9,0.5751749,0.4831437,0.463939,0.9191102,0.497692,0.5119899,9.090349
10,0.5239829,0.3100712,0.3941011,0.9609517,0.4632262,0.4915645,3.243821
11,0.5924056,0.5372961,0.6264019,0.9439828,0.4522833,0.4020639,4.254085
12,0.677551,0.6746939,0.8717346,1.080508,0.4102901,0.3505287,6.783955
13,0.6387628,0.6185874,0.8404688,1.025018,0.4096949,0.3000449,10.59506
14,0.65985,0.641498,0.8404688,1.060363,0.4337946,0.3231255,4.175988
15,0.6856486,0.6232634,0.681411,1.172952,0.5213157,0.4293006,11.48896
16,0.5981438,0.420786,0.5355146,1.109719,0.4830472,0.4416521,1.87817
17,0.6484715,0.5444106,0.5238661,1.256147,0.4709396,0.4469942,6.654472
18,0.660671,0.7102299,0.5497534,1.095519,0.4992678,0.4485849,3.566196
19,0.623956,0.5230162,0.6257063,1.087206,0.4648638,0.4189877,5.486003

