option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
chosenOption,0.6107107,0.6246115,0.6276674,0.7860331,0.515514,0.4997278,72.89198
chosenOption,0.5718552,0.5837412,0.5714442,0.7390711,0.5292295,0.4357898,60.40774
chosenOption,0.569807,0.6306702,0.604973,0.7386479,0.4922006,0.3825434,63.42521
chosenOption,0.5103871,0.4720307,0.4794634,0.7706531,0.5430899,0.2866983,68.46385
chosenOption,0.5614077,0.5906785,0.5669708,0.7840991,0.5060789,0.3592113,84.64737
chosenOption,0.5803757,0.5925823,0.5747854,0.7876977,0.5427926,0.4040204,92.42769
chosenOption,0.5237136,0.5524655,0.5164295,0.732394,0.4980119,0.3192668,90.2797
chosenOption,0.6229738,0.6402645,0.6499032,0.7945939,0.5543711,0.4757366,100.703
chosenOption,0.5565566,0.5964447,0.5834002,0.7326468,0.4996791,0.3706122,98.60388
chosenOption,0.541382,0.5979545,0.5555626,0.7199915,0.5224663,0.3109351,103.844
chosenOption,0.500208,0.4797526,0.4820882,0.7733116,0.4908805,0.2750072,87.4687
chosenOption,0.5747014,0.377584,0.5456412,0.7455907,0.5819137,0.6227774,113.1926
chosenOption,0.6176892,0.5562222,0.7084398,0.779735,0.5277669,0.5162821,110.4152
chosenOption,0.5662164,0.6435127,0.5709614,0.7524717,0.50039,0.363746,115.0595
chosenOption,0.6104322,0.4798012,0.5927204,0.7616538,0.5402805,0.6777051,96.41574
chosenOption,0.6348672,0.5988122,0.7096015,0.7707995,0.5211648,0.5739579,98.52175
chosenOption,0.570829,0.5988777,0.6382466,0.7385753,0.5146469,0.3637988,122.5955
chosenOption,0.618812,0.5571697,0.6582293,0.7093315,0.5213919,0.6479379,102.8517
chosenOption,0.539337,0.5993024,0.4842069,0.7716171,0.5502555,0.2913035,123.6919

