step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.6399404,0.8169374,0.6139723,0.6883406,0.6799089,0.4005428,2.144961
1,0.6572411,0.8873951,0.6526625,0.6727327,0.6635885,0.4098266,3.613061
2,0.6547918,0.8986312,0.6753695,0.6195065,0.6799089,0.4005428,2.141318
3,0.6615528,0.789569,0.6973865,0.6233753,0.4714338,0.7259995,1.754346
4,0.6363463,0.9235996,0.7370276,0.6539148,0.5605137,0.3066759,1.229223
5,0.6517051,0.8238978,0.6451133,0.671616,0.448567,0.6693314,1.687966
6,0.7193335,0.8841283,0.7413239,0.6734373,0.4231744,0.8746036,3.103214
7,0.7104749,0.8841282,0.6940336,0.680747,0.3512225,0.9422432,2.595233
8,0.7127313,0.823898,0.7580292,0.7333828,0.377147,0.8711995,1.297184
9,0.749436,0.8841284,0.7722128,0.7443255,0.3526453,0.9938681,2.140709
10,0.7422727,0.868799,0.7914006,0.7629446,0.2812434,1.006976,2.015909
11,0.7776368,0.9312834,0.8130368,0.7691428,0.3164287,1.058292,2.998604
12,0.7506654,0.8841283,0.7217947,0.7524045,0.2479217,1.147078,3.090789
13,0.7756986,0.8841285,0.8031013,0.7797695,0.2586066,1.152887,1.837743
14,0.770783,0.8687991,0.8230565,0.7992753,0.2008881,1.161896,1.872937
15,0.7132206,1.014166,0.8391376,0.7789539,0.2986148,0.6352308,2.800689
16,0.7087468,1.003913,0.8917984,0.8118407,0.2112643,0.6249175,1.770362
17,0.7204517,1.062019,0.8902599,0.7571747,0.2719635,0.6208411,3.218914
18,0.8172194,0.994644,0.9266552,0.7443253,0.1880774,1.232395,1.836182
19,0.8139998,0.9773983,0.9496805,0.7629445,0.1406216,1.239354,1.601996

